;Ticker;Model;Maturity;H
0;SAP GY Equity;Merton;1;0.5
1;SAP GY Equity;Merton;5;0.5
2;SAP GY Equity;Merton;10;0.5
3;SAP GY Equity;Necula;1;0.4634816457093532
4;SAP GY Equity;Necula;5;0.4634816456180986
5;SAP GY Equity;Necula;10;0.4634814271820863
6;SAP GY Equity;Rostek;1;0.4634816457093531
7;SAP GY Equity;Rostek;5;0.4634816456111743
8;SAP GY Equity;Rostek;10;0.4634814305090393
9;MRK GY Equity;Merton;1;0.5
10;MRK GY Equity;Merton;5;0.5
11;MRK GY Equity;Merton;10;0.5
12;MRK GY Equity;Necula;1;0.533554630031069
13;MRK GY Equity;Necula;5;0.5334210944103105
14;MRK GY Equity;Necula;10;0.5325997853405584
15;MRK GY Equity;Rostek;1;0.533554630037766
16;MRK GY Equity;Rostek;5;0.5334258515888654
17;MRK GY Equity;Rostek;10;0.5326118389135193
18;AI FP Equity;Merton;1;0.5
19;AI FP Equity;Merton;5;0.5
20;AI FP Equity;Merton;10;0.5
21;AI FP Equity;Necula;1;0.4325232523170885
22;AI FP Equity;Necula;5;0.4325232515235325
23;AI FP Equity;Necula;10;0.4325225797949579
24;AI FP Equity;Rostek;1;0.4325232523170889
25;AI FP Equity;Rostek;5;0.4325232513981509
26;AI FP Equity;Rostek;10;0.43252255805008016
27;CRH LN Equity;Merton;1;0.5
28;CRH LN Equity;Merton;5;0.5
29;CRH LN Equity;Merton;10;0.5
30;CRH LN Equity;Necula;1;0.4318540105223048
31;CRH LN Equity;Necula;5;0.4318720128619512
32;CRH LN Equity;Necula;10;0.4321196047942323
33;CRH LN Equity;Rostek;1;0.4318540105231629
34;CRH LN Equity;Rostek;5;0.43187298828661314
35;CRH LN Equity;Rostek;10;0.4321176698742693
36;SRG IM Equity;Merton;1;0.5
37;SRG IM Equity;Merton;5;0.5
38;SRG IM Equity;Merton;10;0.5
39;SRG IM Equity;Necula;1;0.42711429325098843
40;SRG IM Equity;Necula;5;0.427112505236123
41;SRG IM Equity;Necula;10;0.42707178279519353
42;SRG IM Equity;Rostek;1;0.42711429325098466
43;SRG IM Equity;Rostek;5;0.4271122555075081
44;SRG IM Equity;Rostek;10;0.4270756090634786
45;DAI GY Equity;Merton;1;0.5
46;DAI GY Equity;Merton;5;0.5
47;DAI GY Equity;Merton;10;0.5
48;DAI GY Equity;Necula;1;0.49298174729762756
49;DAI GY Equity;Necula;5;0.4922178475625646
50;DAI GY Equity;Necula;10;0.4907498934289553
51;DAI GY Equity;Rostek;1;0.4929817155060142
52;DAI GY Equity;Rostek;5;0.4922086076691912
53;DAI GY Equity;Rostek;10;0.4907365545060079
54;VIE FP Equity;Merton;1;0.5
55;VIE FP Equity;Merton;5;0.5
56;VIE FP Equity;Merton;10;0.5
57;VIE FP Equity;Necula;1;0.4743663825354427
58;VIE FP Equity;Necula;5;0.47443198339141934
59;VIE FP Equity;Necula;10;0.47499546849555613
60;VIE FP Equity;Rostek;1;0.4743663821902283
61;VIE FP Equity;Rostek;5;0.47443280980714786
62;VIE FP Equity;Rostek;10;0.4750016778955699
63;AMP IM Equity;Merton;1;0.5
64;AMP IM Equity;Merton;5;0.5
65;AMP IM Equity;Merton;10;0.5
66;AMP IM Equity;Necula;1;0.361908664471088
67;AMP IM Equity;Necula;5;0.36190674011767293
68;AMP IM Equity;Necula;10;0.36186653659812634
69;AMP IM Equity;Rostek;1;0.36190866447114695
70;AMP IM Equity;Rostek;5;0.36190712889092275
71;AMP IM Equity;Rostek;10;0.36187447979917153
72;FR FP Equity;Merton;1;0.5
73;FR FP Equity;Merton;5;0.5
74;FR FP Equity;Merton;10;0.5
75;FR FP Equity;Necula;1;0.5340732459893446
76;FR FP Equity;Necula;5;0.53403917051236
77;FR FP Equity;Necula;10;0.5343991750660038
78;FR FP Equity;Rostek;1;0.5340732949770264
79;FR FP Equity;Rostek;5;0.5340384652199788
80;FR FP Equity;Rostek;10;0.5344046605102709
81;EO FP Equity;Merton;1;0.5
82;EO FP Equity;Merton;5;0.5
83;EO FP Equity;Merton;10;0.5
84;EO FP Equity;Necula;1;0.5403808807094381
85;EO FP Equity;Necula;5;0.5389507607613397
86;EO FP Equity;Necula;10;0.5368726546587714
87;EO FP Equity;Rostek;1;0.5403911936924821
88;EO FP Equity;Rostek;5;0.5391193696927846
89;EO FP Equity;Rostek;10;0.5370010782833209
90;GET FP Equity;Merton;1;0.5
91;GET FP Equity;Merton;5;0.5
92;GET FP Equity;Merton;10;0.5
93;GET FP Equity;Necula;1;0.5244273915230637
94;GET FP Equity;Necula;5;0.5246599245653638
95;GET FP Equity;Necula;10;0.525138281479078
96;GET FP Equity;Rostek;1;0.5244273915473233
97;GET FP Equity;Rostek;5;0.5246708222257147
98;GET FP Equity;Rostek;10;0.5251676134112689
99;LHA GY Equity;Merton;1;0.5
100;LHA GY Equity;Merton;5;0.5
101;LHA GY Equity;Merton;10;0.5
102;LHA GY Equity;Necula;1;0.5254402078810292
103;LHA GY Equity;Necula;5;0.5207419402357082
104;LHA GY Equity;Necula;10;0.516342026145824
105;LHA GY Equity;Rostek;1;0.5254584861995416
106;LHA GY Equity;Rostek;5;0.5207965512382797
107;LHA GY Equity;Rostek;10;0.5163579796408684
108;PIA IM Equity;Merton;1;0.5
109;PIA IM Equity;Merton;5;0.5
110;PIA IM Equity;Merton;10;0.5
111;PIA IM Equity;Necula;1;0.45494070822046306
112;PIA IM Equity;Necula;5;0.45474596563108666
113;PIA IM Equity;Necula;10;0.4540489782737401
114;PIA IM Equity;Rostek;1;0.45494068639555346
115;PIA IM Equity;Rostek;5;0.4547272664335106
116;PIA IM Equity;Rostek;10;0.45401235976236964
117;CO FP Equity;Merton;1;0.5
118;CO FP Equity;Merton;5;0.5
119;CO FP Equity;Merton;10;0.5
120;CO FP Equity;Necula;1;0.43428417666727387
121;CO FP Equity;Necula;5;0.43202915696412814
122;CO FP Equity;Necula;10;0.4286576396705575
123;CO FP Equity;Rostek;1;0.4342575625780164
124;CO FP Equity;Rostek;5;0.4317367784492058
125;CO FP Equity;Rostek;10;0.4283519602194408
