;Ticker;Model;Maturity;DP(%)
0;SAP GY Equity;Merton;1;0.0
1;SAP GY Equity;Merton;5;1.7619239400801234e-11
2;SAP GY Equity;Merton;10;1.1233229901819186e-07
3;SAP GY Equity;Necula;1;0.0
4;SAP GY Equity;Necula;5;0.0
5;SAP GY Equity;Necula;10;1.1102230246251565e-14
6;SAP GY Equity;Rostek;1;0.0
7;SAP GY Equity;Rostek;5;0.0
8;SAP GY Equity;Rostek;10;7.771561172376096e-14
9;MRK GY Equity;Merton;1;0.0
10;MRK GY Equity;Merton;5;0.0008481048303421446
11;MRK GY Equity;Merton;10;0.03285970589512743
12;MRK GY Equity;Necula;1;7.351896869067787e-11
13;MRK GY Equity;Necula;5;0.019823810785168927
14;MRK GY Equity;Necula;10;0.2322044562094061
15;MRK GY Equity;Rostek;1;3.774758283725532e-13
16;MRK GY Equity;Rostek;5;0.009419858422965444
17;MRK GY Equity;Rostek;10;0.16204993809626478
18;AI FP Equity;Merton;1;0.0
19;AI FP Equity;Merton;5;2.812179122901881e-06
20;AI FP Equity;Merton;10;0.0004658850539018822
21;AI FP Equity;Necula;1;0.0
22;AI FP Equity;Necula;5;0.0
23;AI FP Equity;Necula;10;1.8207657603852567e-12
24;AI FP Equity;Rostek;1;0.0
25;AI FP Equity;Rostek;5;1.1102230246251565e-14
26;AI FP Equity;Rostek;10;6.135092434078615e-11
27;CRH LN Equity;Merton;1;5.995204332975845e-13
28;CRH LN Equity;Merton;5;0.0012542009179994373
29;CRH LN Equity;Merton;10;0.013413879217372138
30;CRH LN Equity;Necula;1;0.0
31;CRH LN Equity;Necula;5;5.073719222536965e-12
32;CRH LN Equity;Necula;10;7.152167746937721e-10
33;CRH LN Equity;Rostek;1;0.0
34;CRH LN Equity;Rostek;5;6.615596959136383e-10
35;CRH LN Equity;Rostek;10;1.2269674165565903e-08
36;SRG IM Equity;Merton;1;6.860820123133493e-06
37;SRG IM Equity;Merton;5;1.5059280312638812
38;SRG IM Equity;Merton;10;8.96995114811563
39;SRG IM Equity;Necula;1;0.0
40;SRG IM Equity;Necula;5;0.0017356788181821514
41;SRG IM Equity;Necula;10;0.14645223822684628
42;SRG IM Equity;Rostek;1;4.118927421359331e-12
43;SRG IM Equity;Rostek;5;0.009308359529935917
44;SRG IM Equity;Rostek;10;0.2817306184293322
45;DAI GY Equity;Merton;1;0.0024722550311051528
46;DAI GY Equity;Merton;5;5.496822216915187
47;DAI GY Equity;Merton;10;18.500061295160574
48;DAI GY Equity;Necula;1;0.0011261939792395204
49;DAI GY Equity;Necula;5;3.968572564306949
50;DAI GY Equity;Necula;10;14.799223488805557
51;DAI GY Equity;Rostek;1;0.0016094858357074138
52;DAI GY Equity;Rostek;5;4.153087798282584
53;DAI GY Equity;Rostek;10;15.103420836328596
54;VIE FP Equity;Merton;1;2.1743506994909012e-07
55;VIE FP Equity;Merton;5;0.07558174757859026
56;VIE FP Equity;Merton;10;0.32139631857113216
57;VIE FP Equity;Necula;1;3.6193270602780103e-12
58;VIE FP Equity;Necula;5;0.0016902042642596982
59;VIE FP Equity;Necula;10;0.014687060516360706
60;VIE FP Equity;Rostek;1;1.467936883159382e-10
61;VIE FP Equity;Rostek;5;0.0031921400847845227
62;VIE FP Equity;Rostek;10;0.020754639991571455
63;AMP IM Equity;Merton;1;0.0
64;AMP IM Equity;Merton;5;2.2293278334473143e-11
65;AMP IM Equity;Merton;10;8.568701304056958e-11
66;AMP IM Equity;Necula;1;0.0
67;AMP IM Equity;Necula;5;0.0
68;AMP IM Equity;Necula;10;0.0
69;AMP IM Equity;Rostek;1;0.0
70;AMP IM Equity;Rostek;5;0.0
71;AMP IM Equity;Rostek;10;0.0
72;FR FP Equity;Merton;1;4.726254565490251e-06
73;FR FP Equity;Merton;5;0.46605441885880783
74;FR FP Equity;Merton;10;2.184656244599359
75;FR FP Equity;Necula;1;9.733661884281375e-05
76;FR FP Equity;Necula;5;0.7244883195082652
77;FR FP Equity;Necula;10;2.524557472840927
78;FR FP Equity;Rostek;1;7.845457883348672e-06
79;FR FP Equity;Rostek;5;0.4753075812038321
80;FR FP Equity;Rostek;10;1.9922869800376164
81;EO FP Equity;Merton;1;2.854304015365017e-07
82;EO FP Equity;Merton;5;0.033708771425189354
83;EO FP Equity;Merton;10;0.09982291615786565
84;EO FP Equity;Necula;1;8.53311588056016e-06
85;EO FP Equity;Necula;5;0.09363984975577777
86;EO FP Equity;Necula;10;0.22814273068740842
87;EO FP Equity;Rostek;1;2.3029735896074044e-07
88;EO FP Equity;Rostek;5;0.04562147133613248
89;EO FP Equity;Rostek;10;0.1459945946790442
90;GET FP Equity;Merton;1;3.917122182173216e-09
91;GET FP Equity;Merton;5;0.03268874819220002
92;GET FP Equity;Merton;10;0.22693811283653886
93;GET FP Equity;Necula;1;5.288337545650279e-08
94;GET FP Equity;Necula;5;0.05738821052578835
95;GET FP Equity;Necula;10;0.33244975549417966
96;GET FP Equity;Rostek;1;3.316602548153469e-09
97;GET FP Equity;Rostek;5;0.03654660114166264
98;GET FP Equity;Rostek;10;0.25929078694093555
99;LHA GY Equity;Merton;1;7.123120315810638e-06
100;LHA GY Equity;Merton;5;0.5702909017341162
101;LHA GY Equity;Merton;10;2.795986807304973
102;LHA GY Equity;Necula;1;0.00010754088692888075
103;LHA GY Equity;Necula;5;0.7544625792042958
104;LHA GY Equity;Necula;10;2.7296449164376124
105;LHA GY Equity;Rostek;1;1.7954804132358504e-05
106;LHA GY Equity;Rostek;5;0.5937846053594376
107;LHA GY Equity;Rostek;10;2.4640697814085843
108;PIA IM Equity;Merton;1;0.0017342470487458073
109;PIA IM Equity;Merton;5;7.966555297200828
110;PIA IM Equity;Merton;10;28.60829330686053
111;PIA IM Equity;Necula;1;4.022471244979897e-08
112;PIA IM Equity;Necula;5;0.5476244262947461
113;PIA IM Equity;Necula;10;5.628324918697003
114;PIA IM Equity;Rostek;1;2.8197382540007254e-06
115;PIA IM Equity;Rostek;5;0.8793689322278753
116;PIA IM Equity;Rostek;10;6.663718699427723
117;CO FP Equity;Merton;1;1.34828355113914
118;CO FP Equity;Merton;5;57.72298404396723
119;CO FP Equity;Merton;10;89.17170804390821
120;CO FP Equity;Necula;1;0.042730672448032525
121;CO FP Equity;Necula;5;50.77253112563079
122;CO FP Equity;Necula;10;93.06786785205891
123;CO FP Equity;Rostek;1;0.2657870728617451
124;CO FP Equity;Rostek;5;51.37878719190905
125;CO FP Equity;Rostek;10;92.06690647152438
